y	yend	x	xend	key	showSelected1	PANEL
1	1	-3.45827012662495	-3.41185537293612	all	control.vs.carbon.additions C	1
5	5	-3.43243216999424	-3.38127637078602	other	control.vs.carbon.additions C	1
3	3	-3.45210196066365	-3.40769396546052	same	control.vs.carbon.additions C	1
1	1	-3.3279031482011	-3.26678743187599	all	control.vs.carbon.additions CN	1
5	5	-3.24143787233672	-3.17626288275485	other	control.vs.carbon.additions CN	1
3	3	-3.35429477113362	-3.30072270496469	same	control.vs.carbon.additions CN	1
1	1	-3.48980673463603	-3.43447615413242	all	control.vs.carbon.additions control	1
5	5	-3.41462906145072	-3.37041790520988	other	control.vs.carbon.additions control	1
3	3	-3.55774362009584	-3.50391036918069	same	control.vs.carbon.additions control	1
1	1	-3.18352187973227	-3.11933454969707	all	controls.between.experiments dim	1
5	5	-2.80276945657888	-2.74171694310078	other	controls.between.experiments dim	1
3	3	-3.68752363785113	-3.56480774973955	same	controls.between.experiments dim	1
1	1	-2.89553223572302	-2.75428974364309	all	controls.between.experiments qme	1
5	5	-2.55921500908106	-2.44386047639742	other	controls.between.experiments qme	1
3	3	-2.95360483969231	-2.82786061484982	same	controls.between.experiments qme	1
1	1	-3.70729137887344	-3.56383817924957	all	controls.between.sites GL	1
5	5	-3.6934445544689	-3.55811306284126	other	controls.between.sites GL	1
3	3	-3.6465031098932	-3.55393847197715	same	controls.between.sites GL	1
1	1	-3.6904836020166	-3.57079563240913	all	controls.between.sites MC	1
5	5	-3.66859971182408	-3.54835095402074	other	controls.between.sites MC	1
3	3	-3.68471317641388	-3.5618367754912	same	controls.between.sites MC	1
1	1	-3.71158752408206	-3.53457025701863	all	controls.between.sites PJ	1
5	5	-3.68427025638572	-3.51953542708718	other	controls.between.sites PJ	1
3	3	-3.68554076132169	-3.5100088508248	same	controls.between.sites PJ	1
1	1	-3.35106134591908	-3.24097981248484	all	controls.between.sites PP	1
5	5	-3.29879239068816	-3.18229770867292	other	controls.between.sites PP	1
3	3	-3.36571788437889	-3.25061206383906	same	controls.between.sites PP	1
1	1	-3.88283221918567	-3.7321583628541	all	controls.between.sites glacier_forefield	1
5	5	-3.6706016987123	-3.4970878981314	other	controls.between.sites glacier_forefield	1
3	3	-4.68348638584388	-4.55044649390705	same	controls.between.sites glacier_forefield	1
1	1	-4.04616767709738	-3.92897753626076	all	controls.between.sites litchfield_island	1
5	5	-3.87068947712465	-3.74116628044616	other	controls.between.sites litchfield_island	1
3	3	-4.65584554306964	-4.49762213278583	same	controls.between.sites litchfield_island	1
1	1	-3.62166218099778	-3.49679555884623	all	dim.C.between.sites GL	1
5	5	-3.61633902099604	-3.47937701863144	other	dim.C.between.sites GL	1
3	3	-3.56967341168941	-3.46810838497534	same	dim.C.between.sites GL	1
1	1	-3.62437544028817	-3.53884221559027	all	dim.C.between.sites MC	1
5	5	-3.51079087064547	-3.43742171797629	other	dim.C.between.sites MC	1
3	3	-3.67800843802981	-3.57291820248956	same	dim.C.between.sites MC	1
1	1	-3.54163304083286	-3.42747282906868	all	dim.C.between.sites PJ	1
5	5	-3.51153399152694	-3.40193020104777	other	dim.C.between.sites PJ	1
3	3	-3.53511868822454	-3.39869533694835	same	dim.C.between.sites PJ	1
1	1	-3.25309568885954	-3.14104509757846	all	dim.C.between.sites PP	1
5	5	-3.16681080898764	-3.06008557183504	other	dim.C.between.sites PP	1
3	3	-3.29540468278058	-3.200828667962	same	dim.C.between.sites PP	1
1	1	-3.41322562449205	-3.34926946771972	all	dim.CN.combine.sites GL	1
5	5	-3.39240938490889	-3.32983766494374	other	dim.CN.combine.sites GL	1
